"DateTime";"Hand Force Top (Left Stroke)";"Hand Force Bottom (Left Stroke)";"Hand Force Top (Right Stroke)";"Hand Force Bottom (Right Stroke)";"Hand Power (Left Stroke)";"Hand Power (Right Stroke)";"Strain A1";"Strain B1";"Strain C1";"Strain A2";"Strain B2";"Strain C2"
"1989-12-30 23:07:56.450";;;;;;;1984;2022;2029;2063;1960;2134
"1989-12-30 23:07:56.460";;;;;;;1983;2021;2029;2062;1960;2134
"1989-12-30 23:07:56.470";;;;;;;1982;2022;2030;2062;1959;2134
"1989-12-30 23:07:56.480";;;;;;;1980;2020;2030;2062;1960;2134
"1989-12-30 23:07:56.490";;;;;;;1979;2018;2032;2062;1960;2134
"1989-12-30 23:07:56.500";;;;;;;1979;2018;2030;2062;1960;2134
"1989-12-30 23:07:56.510";;;;;;;1979;2018;2030;2064;1962;2134
"1989-12-30 23:07:56.520";;;;;;;1979;2018;2030;2065;1964;2134
"1989-12-30 23:07:56.530";;;;;;;1978;2017;2030;2066;1963;2133
"1989-12-30 23:07:56.540";;;;;;;1978;2017;2029;2065;1964;2132
"1989-12-30 23:07:56.550";;;;;;;1978;2018;2028;2066;1964;2131
"1989-12-30 23:07:56.560";;;;;;;1979;2019;2027;2067;1965;2131
"1989-12-30 23:07:56.570";;;;;;;1981;2019;2028;2068;1966;2131
"1989-12-30 23:07:56.580";;;;;;;1983;2022;2027;2069;1967;2131
"1989-12-30 23:07:56.590";;;;;;;1985;2023;2026;2069;1966;2132
"1989-12-30 23:07:56.600";;;;;;;1987;2026;2025;2069;1968;2132
"1989-12-30 23:07:56.610";;;4,7;5,4;;2;1988;2026;2024;2070;1968;2133
"1989-12-30 23:07:56.620";;;4,8;5,6;;2;1989;2027;2024;2070;1967;2133
"1989-12-30 23:07:56.630";;;5;5,8;;2;1989;2027;2022;2070;1968;2133
"1989-12-30 23:07:56.640";;;5;4,9;;3;1990;2027;2022;2068;1967;2133
"1989-12-30 23:07:56.650";;;5;4,8;;3;1989;2026;2021;2069;1966;2133
"1989-12-30 23:07:56.660";;;4,9;3,5;;3;1988;2024;2021;2067;1965;2132
"1989-12-30 23:07:56.670";;;;;;0;1987;2024;2022;2067;1965;2133
