"DateTime";"Hand Force Top (Left Stroke)";"Hand Force Bottom (Left Stroke)";"Hand Force Top (Right Stroke)";"Hand Force Bottom (Right Stroke)";"Hand Power (Left Stroke)";"Hand Power (Right Stroke)";"Strain A1";"Strain B1";"Strain C1";"Strain A2";"Strain B2";"Strain C2"
"1989-12-30 23:00:50.950";;;;;;;2112;1934;2025;1910;1909;2141
"1989-12-30 23:00:50.960";;;;;;;2113;1935;2025;1906;1905;2140
"1989-12-30 23:00:50.970";;;;;;;2113;1935;2025;1903;1902;2137
"1989-12-30 23:00:50.980";;;;;;;2114;1934;2024;1899;1900;2137
"1989-12-30 23:00:50.990";;;;;;;2112;1934;2024;1898;1900;2134
"1989-12-30 23:00:51.000";;;;;;;2113;1934;2027;1904;1903;2128
"1989-12-30 23:00:51.010";;;;;;;2114;1934;2030;1909;1910;2126
"1989-12-30 23:00:51.020";;;;;;;2114;1934;2033;1915;1914;2127
"1989-12-30 23:00:51.030";;;;;;;2114;1935;2034;1917;1916;2127
"1989-12-30 23:00:51.040";;;;;;;2113;1934;2034;1917;1916;2127
"1989-12-30 23:00:51.050";;;;;;;2112;1933;2033;1914;1913;2129
"1989-12-30 23:00:51.060";;;;;;;2112;1933;2031;1911;1910;2132
"1989-12-30 23:00:51.070";;;;;;;2113;1933;2028;1907;1907;2132
"1989-12-30 23:00:51.080";;;;;;;2113;1934;2026;1905;1904;2134
"1989-12-30 23:00:51.090";;;;;;;2113;1933;2025;1904;1903;2134
"1989-12-30 23:00:51.100";;;;;;;2113;1933;2025;1904;1903;2133
"1989-12-30 23:00:51.110";;;;;;;2112;1932;2026;1907;1905;2132
"1989-12-30 23:00:51.120";;;;;;;2112;1932;2027;1911;1908;2131
"1989-12-30 23:00:51.130";;;;;;;2112;1931;2029;1913;1911;2131
"1989-12-30 23:00:51.140";;;;;;;2111;1930;2029;1915;1912;2132
"1989-12-30 23:00:51.150";;;;;;;2112;1931;2027;1914;1912;2133
"1989-12-30 23:00:51.160";;;;;;;2113;1932;2026;1912;1910;2135
"1989-12-30 23:00:51.170";;;;;;;2112;1932;2024;1910;1908;2136
"1989-12-30 23:00:51.180";;;;;;;2111;1931;2023;1909;1908;2135
"1989-12-30 23:00:51.190";;;;;;;2110;1930;2024;1911;1909;2135
"1989-12-30 23:00:51.200";;;;;;;2110;1931;2025;1915;1912;2135
"1989-12-30 23:00:51.210";;;;;;;2111;1930;2027;1920;1917;2133
"1989-12-30 23:00:51.220";;;;;;;2110;1930;2031;1924;1922;2131
"1989-12-30 23:00:51.230";;;;;;;2109;1931;2033;1928;1926;2130
"1989-12-30 23:00:51.240";;;;;;;2109;1932;2033;1929;1928;2131
"1989-12-30 23:00:51.250";;;;;;;2111;1932;2032;1930;1928;2132
"1989-12-30 23:00:51.260";;;;;;;2110;1932;2031;1927;1927;2134
"1989-12-30 23:00:51.270";;;;;;;2108;1930;2029;1926;1924;2134
"1989-12-30 23:00:51.280";;;;;;;2108;1932;2028;1927;1925;2135
"1989-12-30 23:00:51.290";;;;;;;2109;1933;2028;1932;1929;2134
"1989-12-30 23:00:51.300";;;;;;;2107;1933;2030;1941;1936;2131
"1989-12-30 23:00:51.310";;;;;;;2107;1933;2033;1949;1944;2129
"1989-12-30 23:00:51.320";;;;;;;2108;1935;2033;1956;1951;2130
"1989-12-30 23:00:51.330";;;;;;;2110;1938;2033;1958;1954;2134
"1989-12-30 23:00:51.340";;;;;;;2110;1939;2030;1958;1954;2135
"1989-12-30 23:00:51.350";;;;;;;2109;1939;2028;1958;1954;2134
"1989-12-30 23:00:51.360";;;;;;;2108;1938;2028;1963;1957;2134
"1989-12-30 23:00:51.370";;;;;;;2111;1941;2030;1969;1964;2134
"1989-12-30 23:00:51.380";;;;;;;2111;1942;2032;1975;1971;2132
"1989-12-30 23:00:51.390";;;;;;;2109;1939;2032;1979;1974;2131
"1989-12-30 23:00:51.400";;;;;;;2109;1938;2029;1978;1974;2130
"1989-12-30 23:00:51.410";;;;;;;2112;1938;2026;1977;1972;2131
"1989-12-30 23:00:51.420";;;;;;;2112;1938;2025;1975;1971;2130
"1989-12-30 23:00:51.430";;;;;;;2113;1937;2025;1976;1971;2130
"1989-12-30 23:00:51.440";;;;;;;2114;1938;2024;1976;1972;2131
"1989-12-30 23:00:51.450";;;;;;;2114;1937;2024;1974;1970;2131
